Entity,Code,Year,"Air transport, passengers carried"
Afghanistan,AFG,2000,149705.0
Albania,ALB,2000,136622.0
Algeria,DZA,2000,2997480.0
Angola,AGO,2000,235448.0
Antigua and Barbuda,ATG,2000,1426114.0
Argentina,ARG,2000,8915627.0
Armenia,ARM,2000,298232.0
Australia,AUS,2000,32577568.0
Austria,AUT,2000,6641875.0
Azerbaijan,AZE,2000,545800.0
Bahamas,BHS,2000,1860623.0
Bahrain,BHR,2000,1382461.0
Bangladesh,BGD,2000,1331369.0
Belarus,BLR,2000,210899.0
Belgium,BEL,2000,10738119.0
Benin,BEN,2000,77273.0
Bhutan,BTN,2000,34425.0
Bolivia,BOL,2000,1756608.0
Bosnia and Herzegovina,BIH,2000,69142.0
Botswana,BWA,2000,163909.0
Brazil,BRA,2000,31287784.0
Brunei,BRN,2000,863547.0
Bulgaria,BGR,2000,535246.0
Burkina Faso,BFA,2000,143529.0
Cameroon,CMR,2000,273000.0
Canada,CAN,2000,41767976.0
Cape Verde,CPV,2000,263547.0
Central African Republic,CAF,2000,77273.0
Chad,TCD,2000,77273.0
Chile,CHL,2000,5174876.0
China,CHN,2000,61891808.0
Colombia,COL,2000,8568734.0
Congo,COG,2000,127541.0
Costa Rica,CRI,2000,877833.0
Cote d'Ivoire,CIV,2000,107979.0
Croatia,HRV,2000,1072000.0
Cuba,CUB,2000,1007193.0
Cyprus,CYP,2000,1396076.0
Czechia,CZE,2000,2229216.0
Denmark,DNK,2000,5922623.0
East Asia and Pacific,,2000,337766624.0
Ecuador,ECU,2000,1318518.0
Egypt,EGY,2000,4521702.0
El Salvador,SLV,2000,1960363.0
Estonia,EST,2000,277595.0
Eswatini,SWZ,2000,89791.0
Ethiopia,ETH,2000,944595.0
Europe and Central Asia,,2000,428305216.0
European Union,,2000,288449344.0
Fiji,FJI,2000,586043.0
Finland,FIN,2000,6828143.0
France,FRA,2000,52581312.0
Gabon,GAB,2000,446688.0
Georgia,GEO,2000,117521.0
Germany,DEU,2000,57962864.0
Ghana,GHA,2000,314335.0
Greece,GRC,2000,7937434.0
Guyana,GUY,2000,73256.0
High income,,2000,1361424768.0
Hong Kong,HKG,2000,14377973.0
Hungary,HUN,2000,2197521.0
Iceland,ISL,2000,1431818.0
India,IND,2000,17299484.0
Indonesia,IDN,2000,9916365.0
Iran,IRN,2000,8722145.0
Ireland,IRL,2000,13983022.0
Israel,ISR,2000,4442967.0
Italy,ITA,2000,30418136.0
Jamaica,JAM,2000,1922123.0
Japan,JPN,2000,109123312.0
Jordan,JOR,2000,1281997.0
Kazakhstan,KAZ,2000,461283.0
Kenya,KEN,2000,1554949.0
Kuwait,KWT,2000,2112523.0
Kyrgyzstan,KGZ,2000,240954.0
Laos,LAO,2000,210847.0
Latin America and Caribbean,,2000,96507568.0
Latvia,LVA,2000,278396.0
Lebanon,LBN,2000,805803.0
Libya,LBY,2000,600734.0
Lithuania,LTU,2000,283836.0
Low and middle income,,2000,308344960.0
Low income,,2000,4776260.0
Lower middle income,,2000,80713568.0
Luxembourg,LUX,2000,870831.0
Macao,MAC,2000,1532189.0
Madagascar,MDG,2000,629409.0
Malawi,MWI,2000,115831.0
Malaysia,MYS,2000,16560793.0
Maldives,MDV,2000,315108.0
Mali,MLI,2000,77273.0
Malta,MLT,2000,1364904.0
Marshall Islands,MHL,2000,16109.0
Mauritania,MRT,2000,185061.0
Mauritius,MUS,2000,949085.0
Mexico,MEX,2000,20894204.0
Middle East and North Africa,,2000,59654536.0
Middle income,,2000,303568704.0
Moldova,MDA,2000,117532.0
Monaco,MCO,2000,82764.0
Mongolia,MNG,2000,253917.0
Morocco,MAR,2000,3671317.0
Mozambique,MOZ,2000,259568.0
Myanmar,MMR,2000,437600.0
Namibia,NAM,2000,247147.0
Nepal,NPL,2000,643332.0
Netherlands,NLD,2000,20898712.0
New Zealand,NZL,2000,10781314.0
Nicaragua,NIC,2000,61031.0
Niger,NER,2000,77273.0
Nigeria,NGA,2000,507396.0
North America,,2000,707095360.0
North Korea,PRK,2000,82953.0
North Macedonia,MKD,2000,599012.0
Norway,NOR,2000,15182305.0
Oman,OMN,2000,2118338.0
Pakistan,PAK,2000,5293541.0
Panama,PAN,2000,1117411.0
Papua New Guinea,PNG,2000,1099772.0
Paraguay,PRY,2000,265898.0
Peru,PER,2000,1595268.0
Philippines,PHL,2000,5756288.0
Poland,POL,2000,2340919.0
Portugal,PRT,2000,6721365.0
Qatar,QAT,2000,2672972.0
Romania,ROU,2000,1218102.0
Russia,RUS,2000,17687894.0
Samoa,WSM,2000,164142.0
Sao Tome and Principe,STP,2000,35054.0
Saudi Arabia,SAU,2000,12566492.0
Senegal,SEN,2000,97525.0
Seychelles,SYC,2000,393835.0
Sierra Leone,SLE,2000,19009.0
Singapore,SGP,2000,16704341.0
Slovakia,SVK,2000,57095.0
Slovenia,SVN,2000,627907.0
Solomon Islands,SLB,2000,75262.0
South Africa,ZAF,2000,8000757.0
South Asia,,2000,26822530.0
South Korea,KOR,2000,34331368.0
Spain,ESP,2000,39711776.0
Sri Lanka,LKA,2000,1755567.0
Sub-Saharan Africa,,2000,17912856.0
Sudan,SDN,2000,414179.0
Suriname,SUR,2000,232649.0
Sweden,SWE,2000,13354314.0
Switzerland,CHE,2000,17268092.0
Syria,SYR,2000,750129.0
Tajikistan,TJK,2000,168006.0
Tanzania,TZA,2000,193069.0
Thailand,THA,2000,17392092.0
Togo,TGO,2000,77273.0
Tonga,TON,2000,51615.0
Trinidad and Tobago,TTO,2000,1254425.0
Tunisia,TUN,2000,1907876.0
Turkey,TUR,2000,12187891.0
Turkmenistan,TKM,2000,1283780.0
Uganda,UGA,2000,39379.0
Ukraine,UKR,2000,950697.0
United Arab Emirates,ARE,2000,6893085.0
United Kingdom,GBR,2000,70436032.0
United States,USA,2000,665327424.0
Upper middle income,,2000,222855136.0
Uruguay,URY,2000,642027.0
Uzbekistan,UZB,2000,1744510.0
Vanuatu,VUT,2000,101503.0
Venezuela,VEN,2000,4295000.0
Vietnam,VNM,2000,2877894.0
World,OWID_WRL,2000,1674064768.0
Yemen,YEM,2000,841609.0
Zambia,ZMB,2000,89628.0
Zimbabwe,ZWE,2000,607976.0
